ns3:row,ID,Gruppo,DataOraIncidente,Localizzazione1,Localizzazione2,IDStrada01,Strada1,Chilometrica,NaturaIncidente,ParticolaritaStrade,TipoStrada,FondoStradale,Pavimentazione,Segnaletica,CondizioneAtmosferica,Traffico,Visibilita,NUM_FERITI,NUM_RISERVATA,NUM_MORTI,NUM_ILLESI,Longitudine,Latitudine,CONFERMATO,IDStrada02,Strada2,DaSpecificare
,5796348,7,2022-01-26T14:00:00,Strada Urbana,da specificare,12174,PIAZZALE PINO PASCALI,,Scontro laterale fra veicoli in marcia,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Orizzontale,Sereno,Normale,Buona,0,0,0,3,12.57755,41.897260000000003,True,,,SNC
,5798010,3,2022-01-26T14:00:00,Strada Urbana,all'intersezione con,7938,PIAZZA ORAZIO MARUCCHI,,Scontro laterale fra veicoli in marcia,Intersezione stradale segnalata,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,0,0,0,3,12.52122,41.92107,True,9472,VIA RODOLFO LANCIANI,
,5796286,20,2022-01-26T14:10:00,Strada Urbana,all'intersezione con,4558,VIA FRANCESCO SAVERIO NITTI,,Scontro frontale/laterale DX fra veicoli in marcia,Intersezione stradale segnalata,Una carreggiata a doppio senso,Asciutto,Asfaltata,Assente,Sereno,Normale,Buona,0,0,0,3,12.47222,41.946930000000002,True,4419,VIA FRANCESCO BORGATTI,
,5796084,8,2022-01-26T14:10:00,Strada Urbana,in corrispondenza,2403,VIA CASILINA,1070,Scontro laterale fra veicoli in marcia,Rettilineo,Due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Nuvoloso,Normale,Buona,1,0,0,1,12.592040000000001,41.867040000000003,True,,,
,5796240,20,2022-01-26T14:15:00,Regionale,da specificare,4184,VIA FLAMINIA,,Tamponamento,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,0,0,0,2,12.471830000000001,41.941920000000003,True,,,KM 14
,5796256,20,2022-01-26T14:18:00,Regionale entro l'abitato,in corrispondenza,4185,VIA FLAMINIA NUOVA,14,Veicolo in marcia contro veicolo fermo,Rettilineo,Due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,0,0,0,2,12.47917,41.96087,True,,,
,5795809,19,2022-01-26T14:20:00,Strada Urbana,in corrispondenza,7045,VIA MARZIALE,7/d,Investimento di pedone,Rettilineo,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,1,0,0,1,12.44319,41.911839999999998,True,,,
,5796179,13,2022-01-26T14:30:00,Strada Urbana,in prossimità,14756,VIA CROVIANA,20,Scontro laterale fra veicoli in marcia,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Temporanea di cantiere,Sereno,Scarso,Buona,0,0,0,2,12.36514,41.72372,True,,,
,5798374,3,2022-01-26T14:40:00,Strada Urbana,in corrispondenza,6380,VIA LORENZO IL MAGNIFICO,15,Investimento di pedone,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,1,0,0,1,12.52252,41.913260000000001,True,,,
,5796347,19,2022-01-26T14:40:00,Strada Urbana,in corrispondenza,10776,VIA TRIONFALE,7012,Scontro frontale/laterale SX fra veicoli in marcia,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,0,0,0,3,12.439399999999999,41.93459,True,,,
