id,tipologia,denominazione,via,civico,latitude,longitude,stelle,categoria,totalePostiLetto,totaleNumeroCamere,numeroSingole,numeroDoppie,numeroTriple,numeroQuadruple,numeroBagni
397922,Guest House o Affittacamere,AFFITTACAMERE O GUEST HOUSE RIPETTA HARBOUR SUITES,Via di Ripetta,12,41.9092889,12.4765411,,2.0,5.0,3.0,1.0,2.0,,,
396353,Guest House o Affittacamere,AFFITTACAMERE O GUEST HOUSE SOLE E LUNA,Via Merulana,117,41.8904539,12.5030513,,2.0,8.0,3.0,,2.0,,1.0,
397221,Guest House o Affittacamere,affittacamere o guesthouse  GLANCE IN ROME,Via Genova,24,41.8992897,12.4922611,,3.0,15.0,6.0,,4.0,1.0,1.0,
396269,Guest House o Affittacamere,affittacamere o guesthouse  NAVONA CHIC,Via dei Sediari,8,41.8977498,12.4747551,,3.0,12.0,6.0,,6.0,,,
395819,Guest House o Affittacamere,AFFITTACAMERE ONDINA,Via Flaminia,29,41.9132092,12.4751886,,3.0,10.0,5.0,,5.0,,,
396617,Guest House o Affittacamere,Affittacamere PASCIÀ,Via Prenestina,170,41.8872259,12.5394048,,3.0,10.0,5.0,,5.0,,,
397721,Guest House o Affittacamere,affittacamere piazza di spagna just for us ,Via del Babuino,104,41.9067518,12.481071,,2.0,4.0,2.0,,2.0,,,
395056,Guest House o Affittacamere,AFFITTACAMERE RESIDENZA EDOARDO I°,Via Giovanni Bettolo,36,41.911805,12.4569543,,2.0,8.0,4.0,,4.0,,,
396460,Guest House o Affittacamere,AFFITTACAMERE RESIDENZA SCIARRA,Vicolo Sciarra,61,41.8994451,12.481393,,3.0,8.0,4.0,,4.0,,,
394810,Guest House o Affittacamere,AFFITTACAMERE ROOMS MONTEVERDE,Piazza Carlo Alberto Scotti,20,41.8695721,12.4457416,,3.0,6.0,4.0,2.0,2.0,,,
397678,Guest House o Affittacamere,AFFITTACAMERE SAN PIETRO RESORT,Via Tommaso Campanella,41,41.9101127,12.4501614,,3.0,9.0,4.0,,3.0,1.0,,
396196,Guest House o Affittacamere,AFFITTACAMERE SETTE A,Via Antonio Salandra,1 A,41.9057695,12.4955605,,3.0,13.0,6.0,1.0,3.0,2.0,,
395648,Guest House o Affittacamere,AFFITTACAMERE SOGGIORNO FENICIA,Via Milazzo,20,41.9021999,12.5045539,,3.0,8.0,4.0,,4.0,,,
397603,Guest House o Affittacamere,Affittacamere ST PETER'S VIEW,Via di Porta Cavalleggeri,107,41.8995512,12.4535112,,3.0,11.0,4.0,,2.0,1.0,1.0,
395700,Guest House o Affittacamere,AFFITTACAMERE TERRAZZA MUNIRA,Via Emilio Morosini,14,41.8859683,12.4686635,,2.0,8.0,4.0,2.0,,2.0,,
397619,Guest House o Affittacamere,Affittacamere THEWESLEY ROME SRL,Via del Banco di Santo Spirito,3,41.9010385,12.4667428,,2.0,16.0,5.0,1.0,1.0,,2.0,
397479,Guest House o Affittacamere,Affittacamere tiburstation 2,Via Tiburtina,548,41.9084288,12.5429344,,3.0,7.0,3.0,,2.0,1.0,,
395870,Guest House o Affittacamere,AFFRESCHI SU ROMA,Via Giuseppe Zanardelli,7,41.901237,12.4723514,,3.0,16.0,6.0,,3.0,2.0,1.0,
397520,Guest House o Affittacamere,AFIYA GUEST HOUSE O AFFITTACAMERE,Via Castelfidardo,48,41.9066177,12.5008876,,3.0,6.0,2.0,,1.0,,1.0,
395807,Guest House o Affittacamere,AGER VATICANUS,Piazza Santa Maria delle Grazie,3,41.9070172,12.4498648,,2.0,6.0,3.0,,3.0,,,
396229,Guest House o Affittacamere,AGLI HORTI SALLUSTIANI DI FABIO MARIO SALVATORE,Via Quintino Sella,3,41.9067848,12.4969576,,2.0,10.0,5.0,,5.0,,,
396518,Guest House o Affittacamere,AI SENATORI,Via Caio Mario,8,41.9083144,12.461068,,3.0,7.0,3.0,,2.0,1.0,,
397161,Guest House o Affittacamere,AIDA CHARMING ROOMS,Viale dei Colli Portuensi,226,41.8692289,12.4431182,,3.0,10.0,5.0,,5.0,,,
406502,Guest House o Affittacamere,AKINITA GUEST HOUSE O AFFITTACAMERE,Via Caianello,53,41.8881668,12.5433334,,2.0,3.0,1.0,,,1.0,,
395361,Guest House o Affittacamere,AL BORGO 64,Borgo Pio,64,41.9037079,12.4602405,,2.0,8.0,3.0,,2.0,,1.0,
395443,Guest House o Affittacamere,AL CASALE DEL VEIO,Via Pomponesco,1,42.0374898,12.4682318,,3.0,8.0,6.0,4.0,2.0,,,
396163,Guest House o Affittacamere,AL CENTOUNDICI guest house o affittacamere,Via Cola di Rienzo,111,41.9083778,12.4661182,,3.0,8.0,4.0,1.0,2.0,1.0,,
395445,Guest House o Affittacamere,AL GIARDINO DELLE TARTARUGHE,Via Dante De Blasi,31,41.8601384,12.4450501,,2.0,8.0,4.0,,4.0,,,
397807,Guest House o Affittacamere,AL IRAM NAPOLEONE III GUEST HOUSE O AFFITTACAMERE,Via Napoleone III,22,41.8971463,12.5016404,,3.0,11.0,5.0,1.0,2.0,2.0,,
397500,Guest House o Affittacamere,AL PANTHEON CON THOMAS MANN guest house o affittacamere,Via del Pantheon,57,41.8997045,12.4768801,,3.0,8.0,4.0,1.0,2.0,1.0,,
397452,Guest House o Affittacamere,AL RELAIS,Via Palermo,36,41.899602,12.492923,,3.0,12.0,6.0,,6.0,,,
397882,Guest House o Affittacamere,Alba Guest House o Affittacamere,Via Candia,111,41.9077837,12.4519091,,3.0,6.0,3.0,,3.0,,,
397904,Guest House o Affittacamere,ALBACHIARA GUEST HOUSE DI SCALI SUSANNA,Via Albalonga,60,41.8795505,12.5129654,,3.0,8.0,4.0,,4.0,,,
396965,Guest House o Affittacamere,ALBADOMUS,Circonvallazione Nomentana,488,41.9122799,12.5278753,,2.0,12.0,6.0,1.0,4.0,1.0,,
397886,Guest House o Affittacamere,ALEA HOME ROMA,Via Francesco Caracciolo,6,41.9081527,12.4501826,,3.0,5.0,3.0,1.0,2.0,,,
395366,Guest House o Affittacamere,ALESSANDRO A SAN PIETRO BEST BED,Via Silvio Pellico,44,41.9134678,12.4591722,,3.0,7.0,5.0,3.0,2.0,,,
397246,Guest House o Affittacamere,Alessandro guest house o affittacamere,Via Conte Verde,16,41.8936808,12.5062532,,3.0,6.0,2.0,,,2.0,,
395352,Guest House o Affittacamere,ALESSIA E CALLIOPE,Via Pelagio I,12,41.8981579,12.4570561,,2.0,9.0,5.0,1.0,4.0,,,
395620,Guest House o Affittacamere,ALEX E SERGIO HOUSE,Via Milazzo,23,41.9024118,12.5052691,,2.0,6.0,4.0,2.0,2.0,,,
395851,Guest House o Affittacamere,ALEX INN,Via Emilia,47,41.907582,12.4888202,,1.0,8.0,4.0,,4.0,,,
397158,Guest House o Affittacamere,Alex place guest house o affittacamere,Viale Castro Pretorio,25,41.9034995,12.5073526,,3.0,16.0,5.0,,1.0,2.0,2.0,
394809,Guest House o Affittacamere,ALEX'S GUEST HOUSE,Via Cesare Pascarella,46,41.8766197,12.4671079,,2.0,6.0,3.0,,3.0,,,
395197,Guest House o Affittacamere,ALIBERT SUITE,Via Margutta,61,41.907338,12.4808414,,2.0,14.0,6.0,,5.0,,1.0,
